GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JetUML,org.jetuml.diagram,Diagram,44,422,20,56,0,96,20,47,0,29
JetUML,org.jetuml.diagram,Properties,16,107,12,12,0,15,12,7,0,7
JetUML,org.jetuml.diagram,DiagramType,26,310,5,7,2,27,5,11,1,9
JetUML,org.jetuml.diagram,Property,8,35,4,4,0,12,4,5,0,5
JetUML,org.jetuml.diagram,Prototypes,14,222,4,2,2,48,3,5,0,5
JetUML,org.jetuml.diagram,PropertyName,4,122,1,1,0,21,1,4,0,4
JetUML,org.jetuml.diagram,AbstractDiagramElement,3,22,0,0,2,9,0,4,0,4
JetUML,org.jetuml.rendering,ObjectDiagramRenderer,0,32,0,0,0,6,0,1,0,1
JetUML,org.jetuml.rendering,FontDimension,0,9,0,0,0,1,0,1,0,1
JetUML,org.jetuml.rendering,EdgePriority,8,144,3,31,0,25,3,19,0,5
JetUML,org.jetuml.rendering,AbstractDiagramRenderer,253,269,29,17,39,51,34,24,14,21
JetUML,org.jetuml.rendering,NodeCorner,8,73,2,18,0,16,2,13,0,5
JetUML,org.jetuml.rendering,SvgRenderingContext,745,0,28,0,99,0,30,0,16,0
JetUML,org.jetuml.rendering,Side,8,152,2,22,0,24,2,15,0,5
JetUML,org.jetuml.rendering,EdgePath,23,97,4,14,3,22,6,12,2,7
JetUML,org.jetuml.rendering,UseCaseDiagramRenderer,0,39,0,0,0,7,0,1,0,1
JetUML,org.jetuml.rendering,SequenceDiagramRenderer,110,674,26,76,9,136,30,64,5,38
JetUML,org.jetuml.rendering,GraphicsRenderingContext,287,270,49,21,41,59,40,15,8,12
JetUML,org.jetuml.rendering,StringRenderer,78,186,10,16,10,38,8,14,0,9
JetUML,org.jetuml.rendering,StringRenderer.Decoration,0,21,0,0,0,2,0,1,0,1
